,DARMC_X,DARMC_Y,DARMC_OBJECTID,NAME,NAME2,Latitude,Longitude,Geo_Q,F2008_Wreck,F2010_Wreck,Geo_D,Start_Date,End_Date,Date_Q,Date_D,Depth,Depth_Q,Year_Found,Year_Found_1,Cargo_1,Cargo_Type1,Cargo_2,Cargo_Type2,Cargo_3,Cargo_Type_3,Other_Cargo,Gear,Estimated displacement,Comments,Length,Width,Size_Detail,Parker_ref,Parker?,Bibliography AFM State 2008,Bibliography_2,OXREP_locid,OXREP_Site_Name,OXREP_Wreck_Name,OXREP_Earliest_Date,OXREP_Latest_Date,OXREP_Dating_comment,OXREP_Wreck_ID,OXREP_Strauss_ID,OXREP_Parker_Number,OXREP_Sea_area,OXREP_Country,OXREP_Region,OXREP_Min_depth,OXREP_Max_depth,OXREP_Depth,OXREP_Period,OXREP_Reference,OXREP_Comments,OXREP_Stone_cargo_notes,OXREP_Other_cargo,OXREP_Hull_remains,OXREP_Shipboard_paraphernalia,OXREP_Ship_equipment,OXREP_Estimated_tonnage,,
776,1565894.171,4980435.717,777,Averno 3, ,40.783333,14.066667,ca,50,53, ,-150,500, , , , , , ,amphoras,, ,, , , ,, ,,0,0, ,66,1,, ,1467,Averno,Averno C,-150,500,,7497,,66,,,,,,,Roman,,,,,,,,,,
777,1565894.171,4980435.717,778,Averno 4, ,40.783333,14.066667,ca,51,54, ,-150,500, , ,25, , , ,amphoras,, ,, , , ,, ,,0,0, ,67,1,, ,1876,Averno,Averno D,-150,500,,7498,,67,,,,,,,Roman,,,,,,,,,,
19,-658640.3205,4325877.167,20,Barbate, ,36.183333,-5.916667, ,67,70, ,-150,500, , , , , , ,amphoras,, ,, , , ,, ,,0,0, ,91,1,, ,2179,Barbate,Barbate,-150,500,,7522,,91,,,,,,,Roman,,,,,,,,,,
184,389618.2178,5350102.144,185,Brescou, ,43.25,3.5, ,89,93, ,-150,500,?, , , , , ,stone,basalt mill-stones of Ambonne, ,, , , ,, ,100 m off Brescou island,0,0, ,114,1,, ,2145,Brescou,Brescou,-150,500,,7542,,114,,,,,,,Roman,,,,,,,,,,
434,948070.9966,4846585.518,435,Cabras, ,39.866667,8.516667,ca,96,100, ,-150,500, , , , , , ,metal,lead ingots, ,, , , ,, ,,0,0, ,122,1,, ,2539,Cabras,Cabras,-150,500,,7548,,122,,,,,,,Roman,,,,,,,,,,
7,-705023.4417,4374257.563,8,Cádiz 5,Pecio de las piedras de molino,36.533333,-6.333333, ,103,107, ,-150,500, , ,10, , , ,stone,"2 mill-stones, 4 squared blocks",amphoras,,ceramic,coarseware, ,, ,,0,0, ,132,1,, ,1097,Cadiz,Cadiz E,-150,500,,7558,,132,,,,,,,Roman,,,,,,,,,,
141,339524.4469,4853839.886,142,Cala de Sant Vicent, ,39.916667,3.05, ,112,116, ,-150,500, , , , , , ,nothing reported,, ,, , , ,, ,lead-sheathed timbers of Roman ship,0,0, ,144,1,, ,638,Cala de Sant Vicent,Cala de Sant Vicent,-150,500,,7568,,144,Western Mediterranean,Spain,Majorca,,,,Roman,,,,,,,,,,
285,595559.2757,5350102.144,286,Calanque du Berger, ,43.25,5.35,?,122,126, ,-150,500,?, , , , , , ,, ,, , , ,lead pipe of a pump, ,,0,0, ,159,1,, ,1967,Calanque du Berger,Calanque du Berger,-150,500,,7583,,159,,,,,,,Roman,,,,,,,,,,
92,90910.9175,4358106.568,93,Cap Magroua, ,36.416667,0.816667, ,146,152, ,-150,500, , , , , , ,amphoras,, ,, , , ,, ,,0,0, ,194,1,, ,990,Cap Magroua,Cap Magroua,-150,500,,7617,,194,,,,,,,Roman,,,,,,,,,,
1185,3849799.057,4254851.625,1186,Cape Andreas 6,Cape Andreas F,35.666667,34.583333, ,153,159, ,-150,500,ca, ,20,ca,1970, ,tiles,roof tiles (Corinthian style tegulae and imbrices), ,, , , ,, ,Dating has not been critically analyzed outside of the initial report.,0,0, ,207,1,,J. Leidwanger 2011.,540,Cape Andreas,Cape Andreas F,-150,400,AD 100,125,206,207,Eastern Mediterranean,Cyprus,East tip,,,20m,Roman Imperial,"J. Green et al., The Research Laboratory for Archaeology, (1970), site 28; Parker (1992), 207.",,,"Corinthian-style roof tiles and cover-tiles, still stacked in position, in two areas. The larger area has about 60 tiles in four rows with another layer underneath; the smaller has about 15 tiles.",,,,,,
1044,2931413.258,4206998.584,1045,Cape Sidero 1, ,35.316667,26.333333,ca,159,165, ,-150,500, , , , , , ,amphoras,, ,, , , ,, ,,0,0, ,214,1,, ,2176,Cape Sidero,Cape Sidero A,-150,500,Roman,201,91,214,Aegean,Greece,Eastern Crete,,,Not known,Roman,"Unpublished, Parker (1992), 214.",Unidentified amphorae?,,,,,,,,
935,1910984.592,4714512.03,936,Capo Cimiti, ,38.95,17.166667, ,165,171, ,-150,500, , ,7, , , ,marble,cipollino columns, ,, , , ,, ,,0,0, ,222,1,, ,1394,Capo Cimiti,Capo Cimiti,-150,500,Roman,186,354,222,Central Mediterranean,Italy,"near Crotone, Calabria",5,8,8m,Roman,"P. Pensabene, IJNA 7 (1978), 105-118 and 223-4.",A 12 x 6m site of 100 tons of cipollino marble,"Five columns of cipollino, 8m long or less, lie parallel on a rocky bottom .",,,,,,,
534,1070522.437,4762338.286,535,Capo Ferrato, ,39.283333,9.616667, ,167,173, ,-150,500,?, ,3, , , ,ceramic,roof tiles,amphoras,, , , ,, ,,0,0, ,228,1,, ,698,Capo Ferrato,Capo Ferrato,-150,500,,7651,,228,,,,,,,Roman,,,,,,,,,,
813,1621553.916,4657416.391,814,Capo Graziano 13, ,38.55,14.566667, ,172,178, ,-150,500, , , , , , , ,, ,, , , ,, ,,0,0, ,243,1,, ,1504,Capo Graziano,Capo Graziano N,-150,500,,7666,,243,,,,,,,Roman,,,,,,,,,,
929,1899852.643,4707357.536,930,Capo Rizzuto, ,38.9,17.066667,ca,177,183, ,-150,500,?, , , , , , ,, ,, , , ,, ,,0,0, ,250,1,, ,1881,Capo Rizzuto,Capo Rizzuto,-150,500,,7673,,250,,,,,,,Roman,,,,,,,,,,
938,1916550.567,4926677.175,939,Capo San Vito, ,40.416667,17.216667, ,179,185, ,-150,500, , , , , , ,amphoras,, ,, , , ,lead-stocked anchor, ,,0,0, ,252,1,, ,2377,Capo San Vito,Capo San Vito,-150,500,,7675,,252,,,,,,,Roman,,,,,,,,,,
880,1700672.389,4554719.501,881,"Capo Sant'Elia (Sardinia, Italy)",,39.16666667,9.15,ca,181,187, ,-150,500, , , , , , ,stone,, ,, , , ,, ,,0,0, ,255,1,, ,2273,Capo Sant'Elia,Capo Sant'Elia,-150,500,,7678,,255,,,,,,,Roman,,,,,,,,,,
458,,,459,Capo Schisò, ,37.82223,15.276911,ca,,, ,-150,500,?, , , , , ,"handmills, possible wreck",, ,, , , ,, ,Unpublished,,,,255.1,1,, ,2273,Capo Schisò,Capo Schisò,-150,500,,7678,,255,,,,,,,Roman,,,,,,,,,,
541,1092786.335,5322124.705,542,Capraia 2, ,43.066667,9.816667, ,186,192, ,-150,500, , ,50, , , ,amphoras,,ceramic,pottery, , , ,, ,,0,0, ,262,1,, ,2209,Capraia,Capraia B,-150,500,,7685,,262,Tyrrhenian Sea,Italy,"Capraia Island, Liguria",,,,Roman,,,,,,,,,,
540,1090931.01,5311971.847,541,Capraia 4, ,43,9.8,?,188,194, ,-150,500,?, , , , , ,marble,blocks  , ,, , , ,, ,,0,0, ,264,1,, ,1183,Capraia,Capraia D,1,400,Roman Imperial,153,412,264,Tyrrhenian Sea,Italy,"Capraia Island, Liguria",,,Not known,Roman Imperial,"Summary reference only Parker (1992), 265. Could be part of Capraia C wreck of works of art at a depth of more than 100m",,Marble blocks.,,,,,,,
801,1608566.642,5637278.202,802,Cavlena, ,45.1,14.45, ,201,207, ,-150,500,?, , , , , ,marble,columns,stone,, , , ,, ,,0,0, ,288,1,, ,1970,€Îavlena,€Îavlena,-150,500,Roman,179,336,288,Adriatic,Croatia,Krk Island,,,Not known,Roman,"D. Vrsalovi€à, Istra_ivanja i Za_tita Podmor_kih Arheoloskih Spomenika u S.R. Hrvatskoj (1974), 53 and 240; Parker (1992), 288.",,Marble ‰Û÷elaborated‰Ûª columns and other stones.,,,,,,,
134,333958.4724,5901362.752,135,Chantenay, ,46.75,3,ca,207,213, ,-150,500, , , , , , ,ceramic,Roman fineware, ,, , , ,, ,,0,0, ,295,1,, ,1032,Chantenay,Chantenay,-150,500,,7264,,295,Non-Mediterranean,,,,,,Roman,,,,,,,,,,
117,243047.5549,4383497.641,118,Cherchel 2, ,36.6,2.183333, ,212,218, ,-150,500, , , , , , ,ceramic,pottery, ,, , , ,, ,well-preserved hull; Parker dates the swipwreck between 1 and 500,0,0, ,299,1,, ,2044,Cherchel,Cherchel B,-150,500,,7719,,299,,,,,,,Roman,,,,,,,,,,
,,,,Ciudadela (Spain),,39.983,3.817,ca,226,232,,-150,500,,,,,,,Amphoras,Roman  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,1152156.73,5268944.581,577,Corbella, ,42.716667,10.35, ,234,241, ,-150,500, , ,45, , , , ,, ,, , , ,lead anchor stock, ,,0,0, ,336,1,, ,1197,Corbella,Corbella,-150,500,,7756,,336,,,,,,,Roman,,,,,,,,,,
791,1595579.368,4275424.223,792,Filfla, ,35.816667,14.333333,ca,299,310, ,-150,500, , , , , , ,amphoras,Roman, ,, , , ,, ,,0,0, ,400,1,, ,1464,Filfla,Filfla,-150,500,,7817,,400,,,,,,,Roman,,,,,,,,,,
1165,3595619.553,4175211.586,1166,Fondana Amorosa, ,35.083333,32.3, ,313,324, ,-150,500,?, ,30, , , ,amphoras,, ,, , , ,sounding lead, ,,0,0, ,414,1,, ,658,Fondana Amorosa,Fondana Amorosa,-150,500,Roman,124,207,414,Eastern Mediterranean,Cyprus,North west tip,30,30,30m,Roman,"Unpublished, Parker (1992), 414.",Unidentified amphorae. 'A large quantity'.,,Other artefacts?,,,A sounding lead.,,,
612,1211527.125,5243726.168,613,"Formiche di Grosseto 1, Le", ,42.55,10.883333, ,316,327, ,-150,500, , ,60, , , ,amphoras,, ,, , , ,lead anchor stock, ,,0,0, ,419,1,, ,1917,Le Formiche di Grosseto,Le Formiche di Grosseto A,-150,500,,7836,,419,,,,,,,Roman,,,,,,,,,,
613,1211527.125,5243726.168,614,"Formiche di Grosseto 2, Le", ,42.55,10.883333, ,317,328, ,-150,500, , , , , , ,amphoras,, ,, , , ,, ,,0,0, ,420,1,, ,1123,Le Formiche di Grosseto,Le Formiche di Grosseto B,-150,500,,7837,,420,,,,,,,Roman,,,,,,,,,,
614,1211527.125,5243726.168,615,"Formiche di Grosseto 3, Le", ,42.55,10.883333, ,318,329, ,-150,500, , ,40, , , ,amphoras,, ,, , , ,, ,,0,0, ,421,1,, ,1243,Le Formiche di Grosseto,Le Formiche di Grosseto C,-150,500,,7838,,421,,,,,,,Roman,,,,,,,,,,
794,1604855.992,4948633.685,795,Galli, ,40.566667,14.416667, ,326,337, ,-150,500, , ,45, , , ,amphoras,, ,, , , ,, ,,0,0, ,433,1,, ,564,Galli,Galli,-150,500,,7849,,433,,,,,,,Roman,,,,,,,,,,
21,-595559.2757,4314389.956,22,Gibraltar 1, ,36.1,-5.35, ,333,344, ,-150,500, , , , , , , ,, ,, , , ,, ,,0,0, ,444,1,, ,1312,Gibraltar,Gibraltar A,-150,500,,7860,,444,,,,,,,Roman,,,,,,,,,,
22,-595559.2757,4314389.956,23,Gibraltar 2, ,36.1,-5.35, ,334,345, ,-150,500, , , , , , , ,, ,, , , ,, ,,0,0, ,445,1,, ,923,Gibraltar,Gibraltar B,-150,500,,7861,,445,,,,,,,Roman,,,,,,,,,,
1046,2931413.258,4774330.35,1047,Glaronissi, ,39.366667,26.333333,ca,341,353, ,-150,500, , , , , , ,amphoras,, ,, , , ,, ,,0,0, ,455,1,, ,1298,Glaronissi,Glaronissi,-150,500,Roman period,95,71,455,Aegean,Greece,Lesbos,,,Not known,Roman,"G. Touchais, BCH 109 (1985), 831; Parker (1992), 455.",A large number of Roman amphora fragments.,,,,,,,,
530,1061245.812,5238690.574,531,Golo, ,42.516667,9.533333, ,346,358, ,-150,500, , , , ,1777, ,nothing reported,, ,, , , ,, ,"well-preserved boat, mast-step, deck, hull, ",14.95,2.6,ca,460,1,,P. Dell'Amico 2008; P. Pomey 2012.,2061,Golo,Golo,-150,500,,7876,,460,,,,,,,Roman,,,,,,,,,,
827,1636396.515,5514578.573,828,Grebeni, ,44.316667,14.7,ca,359,370, ,-150,500, , , , , , ,tiles,, ,, , , ,, ,Parker dates the wreck from 1 to 500. A cargo of tegulae sherds were found scattered around the reef,0,0, ,484,1,, ,995,Grebeni,Grebeni,-150,500,C2nd BC - 4th AD,7900,,484,Adriatic,Croatia,SW  of Silba Island,16,16,16m,Roman,"M. Jurisic, Ancient Shipwrecks of the Adriatic (2000) no. 14",A cargo of tegulae sherds were found scattered around the reef,,A cargo of tegulae.,,,,,,
,,,,Karantunic 2,,43,15.233,,,,,-150,-1,,,,,,,,,,,,,,,,,,,,536,,http://oxrep.classics.ox.ac.uk/databases/shipwrecks_database/40to60/records/541/,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,2898017.41,4605357.135,1039,Komi 2, ,38.183333,26.033333, ,413,427, ,-150,500, , ,4, , , ,tiles,roof tiles,ceramic,terra cotta pipes,amphoras,Roman amphoras, ,, ,,0,0, ,553,1,, ,1094,Komi,Komi B,-150,500,Roman period,93,69,553,Aegean,Greece,Chios,2,4,2-4m,Roman,"R. Garnett and J. Boardman, BSA 56 (1961), 104-05; F. Dumas, Trente Sicles sous La Mer (1972), 148; Parker (1992), 553.",Two unidentified amphora necks.,,Roof tiles and terracotta pipes.,,,,,,
928,1881299.394,5276523.304,929,Lastovo 6, ,42.766667,16.9,ca,427,446, ,-150,500, , , , , , ,amphoras,Roman, ,, , , ,, ,,0,0, ,575,1,, ,1916,Lastovo,Lastovo F,-150,500,,7987,,575,,,,,,,Roman,,,,,,,,,,
990,2276483.587,4607717.759,991,Lixouri, ,38.2,20.45, ,453,472, ,-150,500, , ,4, , , ,marble,"statues, 2 ionic capitals, 4 half-column bases",,,,,,,,300 m from shore,0,0, ,604,1,, ,619,Lixouri,Lixouri,-150,500,Roman,191,314,604,Central Mediterranean,Greece,Cephalonia,4,4,4m,Roman,"Press reports in G. Touchais, BCH 105 (1981), 805; Parker (1992), 604.",,"Six headless statues of three male nudes, a draped female and a seated male;  two Ionic capitals, four half-column bases.",,,,,,,
96,115030.1405,6764043.361,97,Mersea, ,51.8,1.033333, ,522,546, ,-150,500, , , , , , ,ceramic,Roman coarseware, ,, , , ,, ,,0,0, ,692,1,, ,2163,Mersea,Mersea,-150,500,,7290,,692,Non-Mediterranean,,,,,,Roman,,,,,,,,,,
1191,3881339.579,3815932.133,1192,Mikhmoret, ,32.4,34.866667, ,526,550, ,-150,1500, , , , , , ,ceramic,R/Byz jars, ,, , , ,, ,,0,0, ,697,1,, ,1681,Mikhmoret,Mikhmoret,-150,750,,8093,,697,,,,,,,Roman,,,,,,,,,,
568,1144735.43,5211042.683,569,Montecristo 3, ,42.333333,10.283333, ,540,564, ,-150,500, , ,75, , , ,amphoras,, ,, , , ,, ,,0,0, ,717,1,, ,1080,Montecristo,Montecristo C,-150,500,,8113,,717,,,,,,,Roman,,,,,,,,,,
815,1621553.916,4277712.463,816,Munxar, ,35.833333,14.566667, ,544,568, ,-150,500, , , , , , ,amphoras,'Spanish-Roman', ,, , , ,, ,,0,0, ,723,1,, ,561,Munxar,Munxar,-150,500,,8119,,723,,,,,,,Roman,,,,,,,,,,
892,1721741.458,5424267.216,893,Opat, ,43.733333,15.466667, ,592,624, ,-150,500, , , , , , ,tiles,roof tiles, ,, , , ,, ,,0,0, ,764,1,, ,2660,Opat,Opat,-150,500,,8157,,764,,,,,,,Roman,,,,,,,,,,
746,1454574.68,5748356.802,747,Palazzolo di Strella, ,45.8,13.066667, ,606,638, ,-150,500, , , , , , ,ceramic,bricks, ,, , , ,, ,central part of large Roman boat,0,0, ,777,1,, ,1745,Palazzo di Stella,Palazzo di Stella,-150,500,,8168,,777,,,,,,,Roman,,,,,,,,,,
879,1699477.559,4870787.372,880,Palinuro, ,40.033333,15.266667,ca,608,640, ,-150,500, , ,50, , , ,amphoras,, ,, , , ,2 lead anchor stocks, ,,0,0, ,779,1,, ,2222,Palinuro,Palinuro,-150,500,,8170,,779,,,,,,,Roman,,,,,,,,,,
447,985177.4935,4702590.672,448,Palizi Marina, ,38.866667,8.85,ca,609,641, ,-150,500,?, , , , , ,metal,sulphur lead ingots, ,, , , ,, ,,0,0, ,780,1,, ,1546,Palizi Marina,Palizi Marina,-150,500,,8171,,780,,,,,,,Roman,,,,,,,,,,
200,478673.8104,5373055.472,201,"Petit Rhône, Le", ,43.4,4.3,ca,632,664, ,-150,500,?, ,18, , , ,metal,lead ingots,dolia,, , , ,, ,,0,0, ,807,1,, ,2266,Le Petit Rhone,Le Petit Rhone,-150,500,,8197,,807,,,,,,,Roman,,,,,,,,,,
808,1614132.617,5548351.142,809,Pločice, ,44.533333,14.5,ca,660,692, ,-150,500, , , , , , ,tiles,roof tiles, ,, , , ,, ,,0,0, ,837,1,, ,1427,Plocice,Plocice,-150,500,C2nd BC- 5th AD,8227,,837,Adriatic,Croatia,Kvarner,12,15,15m,Roman,"M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 58",A cargo of roof tiles.,,A cargo of roof tiles.,,,A lead anchor stock.,,,
637,1248633.622,5218575.004,638,Porto Ercole, ,42.383333,11.216667,ca,692,732, ,-150,500, , , , , , ,dolia,, ,, , , ,, ,,0,0, ,888,1,, ,1063,Porto Ercole,Porto Ercole B,-150,-100,,8271,,888,,,,,,,Roman Republic,,,,,,,,,,
784,1582592.094,4975536.361,785,Posillipo, ,40.75,14.216667,ca,706,740, ,-150,500,?, ,5, , , ,ceramic,pottery, ,, , , ,shipboard utensils, ,"wooden hull, bronze nails",0,0, ,896,1,, ,2659,Posillipo,Posillipo,-500,500,,8279,,896,,,,,,,,,,,,,,,,,
809,1614132.617,4951076.332,810,Praiano, ,40.583333,14.5,ca,708,742, ,-150,500, , , , , , ,amphoras,Afr1 Afr2 , ,, , , ,, ,,0,0, ,899,1,, ,597,Praiano,Praiano,-150,500,,8282,,899,,,,,,,Roman,,,,,,,,,,
712,1374795.711,4577071.639,713,Punta Altarella, ,37.983333,12.35, ,720,754, ,-150,500, , ,47, , , ,amphoras,,ceramic,pottery, , , ,, ,,0,0, ,913,1,, ,1524,Punta Altarella,Punta Altarella,-150,500,,8295,,913,,,,,,,Roman,,,,,,,,,,
